"","Make","MSRP_MEAN","MPG_City_MEAN","MPG_Highway_MEAN","MSRP_STD","MPG_City_STD","MPG_Highway_STD"
"1","Acura",42938.5714285714,19.4285714285714,26.1428571428571,22189.0077354918,2.69920623252731,3.1320159337915
"2","Audi",43307.8947368421,18.4736842105263,25.7894736842105,13533.6632057282,2.38905888148059,2.9169799330514
"3","BMW",43285.25,18.7,27,12459.7565316882,1.59274671723509,2.47088307248537
"4","Buick",30537.7777777778,18.8888888888889,27.7777777777778,6371.65604018645,1.69148192751537,2.81858908754796
"5","Cadillac",50474.375,16.5,23,12552.2549020086,2,3.77964473009227
"6","Chevrolet",26587.037037037,19.6666666666667,26.8518518518519,10887.9445735656,4.5573271518765,6.73511865981761
"7","Chrysler",27252,19.8666666666667,27.3333333333333,5820.50740301663,1.92230020944651,1.98805959477601
"8","Dodge",26253.8461538462,19.3846153846154,26.2307692307692,17614.4970069455,5.04213019695812,5.29392491688738
"9","Ford",24015.8695652174,19.2608695652174,25.7391304347826,7952.49026923098,4.61437862757025,5.68264816072375
"10","GMC",29560.5,15.375,19.625,8781.57947068749,1.76776695296637,2.38671920665766
"11","Honda",21434.7058823529,27.8235294117647,34,5303.73938562108,11.3260501395988,11.3743131660773
"12","Hummer",49995,10,12,NA,NA,NA
"13","Hyundai",17476.5,23,29.9166666666667,5127.33871250255,4.89897948556636,3.77692355166894
"14","Infiniti",36070,17.25,23.875,8044.20820928236,1.28173988892331,2.58774584753383
"15","Isuzu",26149,16,20.5,8061.01730552664,1.4142135623731,0.707106781186548
"16","Jaguar",61580.4166666667,17.5,25.5833333333333,18485.407200169,0.797724035217466,1.83195540504146
"17","Jeep",24518.3333333333,17.3333333333333,21.3333333333333,3983.10912897617,2.3094010767585,2.51661147842358
"18","Kia",15875.9090909091,21.9090909090909,28.8181818181818,4839.59957960461,3.93584922105879,4.87479603302911
"19","Land Rover",45831.6666666667,14,17.6666666666667,23819.5299771707,3.46410161513775,2.88675134594813
"20","Lexus",44215.4545454545,17.4545454545455,23.4545454545455,12508.4222535349,1.86352549559357,3.17375601972289
"21","Lincoln",42875.5555555556,16.7777777777778,23.4444444444444,6251.39306697138,2.48886408717801,3.16666666666667
"22","Mazda",21770.7272727273,21.4545454545455,27.2727272727273,4701.32572985342,3.58785831279989,4.24478289411624
"23","Mercedes-Benz",60656.8076923077,17.3461538461538,23.6538461538462,30508.7599512261,2.57592403136906,3.74104057922186
"24","Mercury",27972.7777777778,17.5555555555556,24.5555555555556,4886.6598453795,1.42400062421959,1.87823794493077
"25","MINI",18499,26.5,35.5,2121.32034355964,2.12132034355964,2.12132034355964
"26","Mitsubishi",23423.6153846154,20.9230769230769,27.2307692307692,6257.2070385338,3.49908412925293,3.87629217495805
"27","Nissan",24730.9411764706,19.7058823529412,25.4117647058824,6472.14622894319,4.04296775095896,4.87415150987087
"28","Oldsmobile",23763.3333333333,21,29,4983.08722915156,2.64575131106459,3
"29","Pontiac",24156.3636363636,20.5454545454545,27.9090909090909,6775.0192217104,3.75136338851987,5.24317738503182
"30","Porsche",83565,17.4285714285714,24.7142857142857,50395.5355165515,1.81265393434993,3.40168025708305
"31","Saab",37640,20.4285714285714,28.8571428571429,4548.49425634462,0.786795792469443,0.690065559342354
"32","Saturn",17234.375,24.375,32.875,4220.19163198951,2.50356888118884,3.68151754424333
"33","Scion",13565,31.5,36.5,848.528137423857,0.707106781186548,2.12132034355964
"34","Subaru",25501.8181818182,20.2727272727273,27.0909090909091,4088.91933934094,1.1908743922773,1.300349603341
"35","Suzuki",16230.25,22.125,27.875,3547.81911883907,2.79987244607423,3.87067731245358
"36","Toyota",22524.4642857143,24.4285714285714,30.6785714285714,9022.42969855371,9.32312366756094,8.6583446002646
"37","Volkswagen",32248.6666666667,21.4,28.5333333333333,17036.0436665772,5.96178305063654,6.43502321748133
"38","Volvo",36314.1666666667,19.75,26.6666666666667,6176.61934355287,1.86474468152418,2.42462118253303
